label,text_,char_count
1,"the second book in this series has the characters and their story woven together, and the story has a lot of heart. the second book is also filled with a lot of angst, and that is something i look forward to",207
0,not as interesting as i thought it would be. kind of goes on too long an covered the same aspects several times,111
0,guys a little bugger than expected but not big enough to warrant a size up ... but close. super comfy and works great with leggings.,132
1,got this book for my daughter.  she loves it.  she also loves the photos and the,80
0,"i am 1 hr 44 mins into this film and had been continuously bored by this complete mess of a big budgeted war film.
spike lee should have done better homework before he launched his attempt to recount black soldiers heroics
during wwii.  at lease he could have cut 40 mins out of this 160 mins film.  for more details, refer to the other
negative reviews.",354
0,wow what an excercise dvd. my daughter and i did the first week workout and hurt for a few days. bob kicked our butts. wonderful workout bob tells you that if you can't do the exercise just do something to move. then you can adjust your workout for your fitness level. we are still on week 1 and struggling a bit but feel great. jeans a little less tight butt feeling firmer fantastic workout recommend to everyone from beginner to expert. cant wait to move to 2 level workout.,477
1,"so, while the inside suede material is nice and soft and thick, it's not the most durable.

i had to replace a couple of the seams and the",138
0,these shoes are adorable. but the problem is they did not last long.  i would last for like 5 months.,101
1,"these shoes, with no arch support, are very comfortable. i will keep them for the summer and they will be fine.",111
0,"this is the first book by ann leckie i have read, and i really enjoyed it.  it was very engaging from beginning to end - and contains some very intriguing, original, and feasible speculation about possible future technology and social structures. just what i want out of science fiction. highly recommended.",307
0,i love this coat rack. it fits perfectly in the corner of my foyer and is sturdy! it was simple to assemble and looks stylish too.,130
0,"i enjoyed reading this book as a follow up to "" me before you"".  i enjoy her style of writing and didn't want to put the book down until i finished.  i have picked up several more books by jojo moyes to read in the immediate future.  i always appreciate finding an author i enjoy reading.",288
1,"this was a gift and it has been an awesome experience.

if you have a larger head",81
0,really impressed with how nice this set is. not as nice as some other name brands but for the price i wouldn't hesitate to purchase again.,138
1,"this is a great system, it's lightweight and easy to clean. my only complaint is the extra suction cup that comes with it.  the suction cup does not stay in place.  i have to be careful to keep the suction cup on the floor.  the suction cup is not very strong and it will bounce around a lot when i roll it around.  i just put it on top of the floor and it bounces around all over the floor.  the suction cup is very loud and hard to move around, which is why i put it on top of the floor and it bounces all over the floor.",523
1,"i like a firm supportive grip. the only problem is that it's kind of hard to slide.i bought this for a friend, and she is a very tall woman. she has a lot of weight on her back, so it was perfect for her. she has two sons, and she was looking for a chair to go with her. she loved it. i've had it for about a year now and i love the way it moves. i like that it's so easy to store",380
0,"i have used this for a few weeks and am very pleased with it.  first, it makes a good cup of coffee, even without factoring in the convenience.  i'm still trying different varieties.  the french roast is so far my favorite.  by dialing in either 6, 7.5, or 9 oz, it is very easy to adjust the strength to your tastes.  i find even the 9 oz to be strong enough.

the build is very sturdy, better than most of the other pod coffee makers.  charcoal filter in the water is a good idea for those living in the city.

only disadvantages i see are that the machine is relatively expensive, it costs more per cup, of course, than a regular coffee maker, and your choices of coffees are more limited.  but if you only want one cup in the morning on the way out the door, it's certainly quick, with no mess, and leaves no wasted, leftover coffee.  i find it of good value.",863
